Cell ID,EPCAM
DTC2_543434,1.34
DTC2_321935,2.35
DTC2_621588,2.29
DTC2_93456,2.48
DTC2_217927,2.47
DTC2_494970,1.28
DTC2_93485,2.63
DTC2_674060,4.05
DTC2_166542,0.23
DTC2_770817,3.15
DTC2_602165,2.93
DTC2_875313,2.66
DTC2_29737,2.5
DTC2_782107,4.85
DTC2_58512,1.36
DTC2_368507,1.26
DTC2_149830,1.86
DTC2_787668,3.3
DTC2_51911,2
DTC2_804401,2.48
DTC2_227854,2.63
DTC2_677093,2.26
DTC2_548378,3.28
DTC2_689720,1.79
DTC2_300228,4.16
DTC2_569131,2
DTC2_572855,1
DTC2_318613,0
DTC2_552043,0
DTC2_557716,2.59
DTC2_39896,0
DTC2_775974,2.38
DTC2_269426,2.78
DTC2_274472,0
DTC2_617317,1.85
DTC2_164323,2.45
DTC2_477049,0
DTC2_337118,0.43
DTC2_88801,3.67
DTC2_163694,1.1
DTC2_295603,2.85
DTC2_180315,0
DTC2_13294,4.77
DTC2_377258,2.63
DTC2_187638,0
DTC2_505195,1.02
DTC2_563193,2.98
DTC2_816569,3.01
DTC2_384598,3.04
DTC2_449995,1.21
DTC2_561198,0.44
DTC2_436904,3.3
DTC2_742724,0
DTC2_115207,1.87
DTC2_125271,1.79
DTC2_223130,2.17
DTC2_173523,1.65
DTC2_392375,0.63
DTC2_205509,1.59
DTC2_63925,2.83
DTC2_881267,3.92
DTC2_369334,1.42
DTC2_60835,1.76
DTC2_631190,0
DTC2_88707,0
DTC2_552194,0.71
DTC2_259755,2.77
DTC2_319020,2.42
DTC2_321474,4.94
DTC2_754384,1.25
DTC2_764849,1.63
DTC2_676863,1.34
DTC2_678918,1.19
DTC2_680633,1.45
DTC2_507501,0
DTC2_867510,3.38
DTC2_330004,1.21
DTC2_398867,0.65
DTC2_447979,2
DTC2_177879,3
DTC2_760557,0
DTC2_31004,0.22
DTC2_343568,1.03
DTC2_605814,5.97
DTC2_310248,1
DTC2_51799,1.58
DTC2_122465,2.01
DTC2_208625,0.51
DTC2_529661,1.46
DTC2_512346,2.86
DTC2_59793,0.7
DTC2_865959,2.18
DTC2_505747,2.99
DTC2_301881,1.78
DTC2_510452,4.42
DTC2_127428,7.34
DTC2_160935,0
DTC2_131526,3.84
DTC2_126556,2.07
DTC2_404001,0.68
DTC2_219149,0
DTC2_85299,0.32
DTC2_11013,1.16
DTC2_685945,3.99
DTC2_103103,2.44
DTC2_650816,1.57
DTC2_46894,2.78
DTC2_505754,2.93
DTC2_44534,0
DTC2_40530,2.53
DTC2_304933,0.76
DTC2_556457,1.28
DTC2_880904,2.04
DTC2_134563,1.74
DTC2_342032,4.17
DTC2_80340,0
DTC2_664663,3.95
DTC2_819601,3.59
DTC2_363167,0
DTC2_356031,2.35
DTC2_255614,2.09
DTC2_197701,1.88
DTC2_132391,1.97
DTC2_799093,2.65
DTC2_366383,2.17
DTC2_102080,3.74
DTC2_616839,3.37
DTC2_499217,0.87
DTC2_28782,0
DTC2_532674,3.28
DTC2_368514,1.2
DTC2_451950,2.12
DTC2_771496,2.28
DTC2_661518,0.66
DTC2_588876,1.8
DTC2_104544,4.71
DTC2_518779,1.31
DTC2_539130,0.96
DTC2_48952,0.97
DTC2_462724,3.88
DTC2_502658,2.54
DTC2_107360,2.28
DTC2_479569,0
DTC2_870295,1.9
DTC2_335826,2.64
DTC2_227440,0
DTC2_782056,2.6
DTC2_523926,2.21
DTC2_656578,3.32
DTC2_541977,3.22
DTC2_702898,3.38
DTC2_162062,1.36
DTC2_448932,1.05
DTC2_442054,4.57
DTC2_68192,2.22
DTC2_87605,1.11
DTC2_443878,2.25
DTC2_389406,1.06
DTC2_668132,0
DTC2_844052,2.96
DTC2_158782,0
DTC2_698071,2.16
DTC2_112040,0
DTC2_752424,3.51
DTC2_406888,0.89
DTC2_829215,4.16
DTC2_8873,0
DTC2_721481,2.2
DTC2_26071,3.2
DTC2_346424,2.93
DTC2_408030,2.94
DTC2_600347,2.36
DTC2_821968,0.91
DTC2_312709,3.06
DTC2_74963,4.12
DTC2_284357,1.32
DTC2_352123,1.06
DTC2_614160,1.34
DTC2_367641,1.42
DTC2_562914,1.32
DTC2_730469,3.09
DTC2_55895,1.86
DTC2_299775,3.34
DTC2_301192,2.6
DTC2_782279,2.08
DTC2_24867,2.53
DTC2_121047,0
DTC2_699595,0
DTC2_135483,2.79
DTC2_507850,1.66
DTC2_50459,3.83
DTC2_395495,3.78
DTC2_110323,2.53
DTC2_16127,3.3
DTC2_531468,2.03
DTC2_728260,3.01
DTC2_275697,5.95
DTC2_696644,1.51
DTC2_131564,1.09
DTC2_125187,0.27
DTC2_722279,2.24
DTC2_193977,2.69
DTC2_270294,0
DTC2_832847,3.03
DTC2_834155,2.43
DTC2_478337,1.06
DTC2_90229,2.79
DTC2_543376,0
DTC2_509355,0
DTC2_274070,0
DTC2_439211,6.29
DTC2_347195,2.37
DTC2_739827,2.09
DTC2_222710,1.54
DTC2_484286,0
DTC2_647570,0
DTC2_804722,3.06
DTC2_168357,2.45
DTC2_325255,0.27
DTC2_789039,0.69
DTC2_104135,0.88
DTC2_447984,2.47
DTC2_798972,1.7
DTC2_781657,2.8
DTC2_675323,0
DTC2_199920,1.07
DTC2_410541,3.81
DTC2_240766,4.62
DTC2_809443,1.92
DTC2_211667,0
DTC2_510538,1.48
DTC2_769491,0.47
DTC2_67893,0.27
DTC2_750031,3.77
DTC2_684783,2.01
DTC2_682611,0.44
DTC2_408418,6.43
DTC2_15540,0.24
DTC2_131021,1.69
DTC2_827086,0
DTC2_73281,4.38
DTC2_290891,1.62
DTC2_2582,2.32
DTC2_164278,2.09
DTC2_603297,2.77
DTC2_188173,1.75
DTC2_70821,3.25
DTC2_514996,1.75
DTC2_270383,0
DTC2_464844,4.84
DTC2_247736,1.14
DTC2_829331,2.81
DTC2_730519,2.34
DTC2_451559,1.52
DTC2_635986,1.89
DTC2_215649,2.25
DTC2_509108,1.84
DTC2_569122,1.96
DTC2_89759,0
DTC2_610626,0
DTC2_90566,2.81
DTC2_270870,0.57
DTC2_757782,3.11
DTC2_857043,1.21
DTC2_179706,1.74
DTC2_68126,2.95
DTC2_651733,0.84
DTC2_202500,1.66
DTC2_671074,2.35
DTC2_62443,5.41
DTC2_568717,2.62
DTC2_745891,3.26
DTC2_454848,2.31
DTC2_86634,0
DTC2_796919,3.19
DTC2_451539,0.95
DTC2_717138,2.12
DTC2_710623,0.3
DTC2_264386,0
DTC2_523142,4.17
DTC2_226443,1.45
DTC2_514010,2.92
DTC2_875981,2.2
DTC2_6692,3.66
DTC2_771572,3.59
DTC2_12609,0
DTC2_521523,1.75
DTC2_443534,2.68
DTC2_475194,1.37
DTC2_848528,2.75
DTC2_745396,0
DTC2_26224,0.28
DTC2_561329,0
DTC2_719375,0.28
DTC2_471126,0
DTC2_164221,1.65
DTC2_249703,1.75
DTC2_604546,1.54
DTC2_884168,1.8
DTC2_866629,2.03
DTC2_822541,3.4
DTC2_415610,5.5
DTC2_540905,3.22
DTC2_646876,4.29
DTC2_793532,0
DTC2_222280,3.18
DTC2_736697,4.22
DTC2_107429,3.18
DTC2_569720,2.45
DTC2_659319,0.71
DTC2_83893,2.47
DTC2_116768,4.14
DTC2_857013,1.1
DTC2_246298,1.6
DTC2_57513,2.29
DTC2_374741,4.23
DTC2_9881,2.87
DTC2_823335,0
DTC2_485319,2.61
DTC2_64744,3.25
DTC2_598933,0
DTC2_347480,5.27
DTC2_583792,2.62
DTC2_631714,1.4
DTC2_128331,2.56
DTC2_387444,0
DTC2_854748,0.94
DTC2_430661,3.14
DTC2_760042,1.28
DTC2_567105,3.14
DTC2_4745,1.54
DTC2_133030,2.69
DTC2_353362,5.07
DTC2_258255,4.35
DTC2_876415,2.77
DTC2_734903,3.55
DTC2_248365,2.19
DTC2_260011,1.09
DTC2_1832,0
DTC2_638854,1.12
DTC2_576326,0
DTC2_632728,0.28
DTC2_404852,1.18
DTC2_255160,3.81
DTC2_454782,2.29
DTC2_54081,0.68
DTC2_740545,0.32
DTC2_233501,0.93
DTC2_490293,1.38
DTC2_729113,2.38
DTC2_169595,2.08
DTC2_298137,2.4
DTC2_535787,0.43
DTC2_577122,0.27
DTC2_312329,5.96
DTC2_777051,0
DTC2_3822,3.68
DTC2_695707,2.16
DTC2_79876,2.88
DTC2_504183,2.71
DTC2_36496,0
DTC2_189561,0.72
DTC2_468496,1.79
DTC2_496918,0
DTC2_412411,0
DTC2_703207,0
DTC2_77062,0.27
DTC2_534389,0.28
DTC2_147207,0
DTC2_330733,2.68
DTC2_156460,1.51
DTC2_403154,6.5
DTC2_604859,0.33
DTC2_376990,5.21
DTC2_529329,1.67
DTC2_727471,2.35
DTC2_623936,2.31
DTC2_272103,2.34
DTC2_159773,0.3
DTC2_359897,4.08
DTC2_251195,0
DTC2_550907,3.43
DTC2_281485,4.66
DTC2_776045,2.83
DTC2_107861,0.96
DTC2_268571,0
DTC2_99235,0
DTC2_457084,3.34
DTC2_177353,1.97
DTC2_200004,2.03
DTC2_524870,2.94
DTC2_513272,2.38
DTC2_456424,2.81
DTC2_345103,1.47
DTC2_798606,0
DTC2_458661,1.87
DTC2_576747,1.62
DTC2_75796,2.13
DTC2_45377,0
DTC2_163057,1.97
DTC2_672816,5.43
DTC2_695278,4.61
DTC2_798693,2.87
DTC2_127772,5.27
DTC2_781151,3.02
DTC2_476273,0
DTC2_153667,1.51
DTC2_675158,3.31
DTC2_76283,2.27
DTC2_644874,1.62
DTC2_621993,1.96
DTC2_875308,0
DTC2_83056,1.35
DTC2_71119,1.05
DTC2_492495,2.9
DTC2_649141,1.17
DTC2_327766,0.7
DTC2_289958,0
DTC2_16687,3.48
DTC2_585215,0
DTC2_798486,1.88
DTC2_866309,2.45
DTC2_41392,2.05
DTC2_294284,1.73
DTC2_108788,0
DTC2_194435,0
DTC2_642539,1.48
DTC2_577189,2.55
DTC2_855591,1.2
DTC2_108532,4.64
DTC2_254849,3.01
DTC2_578404,0
DTC2_305576,2.11
DTC2_370532,3.47
DTC2_717861,1.28
DTC2_67510,1.57
DTC2_144064,0.81
DTC2_21322,1.96
DTC2_699137,1.86
DTC2_461381,2.37
DTC2_476671,0
DTC2_310321,0
DTC2_222147,0
DTC2_131019,0
DTC2_473657,2.26
DTC2_362683,2.24
DTC2_515114,2.8
DTC2_624771,1.36
DTC2_127593,1.89
DTC2_22605,0.96
DTC2_211500,5.36
DTC2_681756,1.47
DTC2_252090,0
DTC2_92056,3.23
DTC2_307409,2.79
DTC2_39112,2.34
DTC2_311842,3.05
DTC2_193347,0.28
DTC2_194770,0.72
DTC2_500137,0
DTC2_810299,2.14
DTC2_814135,0
DTC2_758781,0
DTC2_807091,2.51
DTC2_774946,2.66
DTC2_390206,0
DTC2_599851,0.29
DTC2_609627,0
DTC2_313557,3.08
DTC2_202091,1.59
DTC2_300782,3.88
DTC2_519051,0.31
DTC2_195973,2.84
DTC2_503999,1.69
DTC2_843763,2.98
DTC2_725521,0
DTC2_533177,3.29
DTC2_340949,2.4
DTC2_495771,2.47
DTC2_271593,0.25
DTC2_446777,0.29
DTC2_613059,3.92
DTC2_224781,2.76
DTC2_424187,4
DTC2_715086,2.57
DTC2_38814,2.18
DTC2_332732,0
DTC2_650234,0.3
DTC2_60036,0.59
DTC2_18157,3.66
DTC2_309708,2.96
DTC2_852614,2.78
DTC2_615270,1.44
DTC2_106550,2.19
DTC2_565496,2.45
DTC2_793576,0.34
DTC2_583905,2.92
DTC2_484648,0.83
DTC2_615820,0
DTC2_356040,4.22
DTC2_765402,3.17
DTC2_836098,1.25
DTC2_679129,3.62
DTC2_23616,2.49
DTC2_883377,2.14
DTC2_10931,0.95
DTC2_558329,0
DTC2_78307,0
DTC2_545518,2.63
DTC2_769049,4.57
DTC2_401595,1.27
DTC2_604574,0
DTC2_371296,3.16
DTC2_319092,1.05
DTC2_324255,0
DTC2_90598,2.89
DTC2_787299,0
DTC2_91630,2.89
DTC2_146306,2.96
DTC2_526306,0
DTC2_821095,2.8
